Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.00      0.34     0.34        1     0.34     1.92  IRXBEXEC
  8.25      0.51     0.17 57262112     0.00     0.00  ebcdic_eq
  7.50      0.66     0.15 12102041     0.00     0.00  num_from_str
  6.50      0.79     0.13 18322925     0.00     0.00  hash_bytes
  4.50      0.88     0.09 18322761     0.00     0.00  find_in_bucket
  4.25      0.96     0.09 30393868     0.00     0.00  get_entry
  4.00      1.04     0.08 13352246     0.00     0.00  num_free
  4.00      1.12     0.08   270000     0.00     0.00  num_mul
  3.75      1.20     0.07 12522138     0.00     0.00  VPOOLGTB
  2.50      1.25     0.05 31706132     0.00     0.00  irxstor
  2.50      1.29     0.05  4940815     0.00     0.00  IRXARICM
  2.50      1.34     0.05                             _init
  2.00      1.39     0.04 46576635     0.00     0.00  Lfx
  2.00      1.43     0.04  1540403     0.00     0.00  IRXBIFFN
  2.00      1.47     0.04  1250205     0.00     0.00  num_format
  1.75      1.50     0.04 20013074     0.00     0.00  slot_set_buf
  1.75      1.53     0.04 18172760     0.00     0.00  matches_exposed_stem
  1.75      1.57     0.04  4520815     0.00     0.00  mag_compare
  1.50      1.60     0.03 18322925     0.00     0.00  bucket_index
  1.50      1.63     0.03 13352246     0.00     0.00  num_alloc
  1.50      1.66     0.03 12932248     0.00     0.00  num_strip_trailing
  1.25      1.69     0.03 12102041     0.00     0.00  lstr_to_num
  1.25      1.71     0.03  4620509     0.00     0.00  rexx_lstr_alloc
  1.25      1.74     0.03  4620509     0.00     0.00  rexx_lstr_dealloc
  1.25      1.76     0.03  1250205     0.00     0.00  num_to_lstr
  1.00      1.78     0.02 30533805     0.00     0.00  read_u16
  1.00      1.80     0.02 19572926     0.00     0.00  Lstrcpy
  1.00      1.82     0.02  7931828     0.00     0.00  slot_to_bool
  1.00      1.84     0.02  5510622     0.00     0.00  VPOOLSTB
  1.00      1.86     0.02   700200     0.00     0.00  add_magnitudes
  0.75      1.88     0.01  6191022     0.00     0.00  get_numeric
  0.75      1.89     0.01   150001     0.00     0.00  first_dot
  0.75      1.91     0.01       61     0.00     0.00  name_len
  0.50      1.92     0.01 11402044     0.00     0.00  num_strip_leading
  0.50      1.93     0.01  7511828     0.00     0.00  slot_set_bool
  0.50      1.94     0.01  3220004     0.00     0.00  pframe_assign
  0.50      1.95     0.01   420001     0.00     0.00  IRXBIFOC
  0.50      1.96     0.01   280000     0.00     0.00  IRXPARBA
  0.50      1.97     0.01        1     0.01     0.01  IRXTERMC
  0.50      1.98     0.01        1     0.01     0.01  cond_bit_index
  0.25      1.98     0.01  5240407     0.00     0.00  read_i16
  0.25      1.99     0.01  1250207     0.00     0.00  num_round
  0.25      1.99     0.01  1250205     0.00     0.00  IRXARIOP
  0.25      2.00     0.01   280000     0.00     0.00  lstr_copy
  0.25      2.00     0.01                             VPOOLNXT
  0.00      2.00     0.00 18032596     0.00     0.00  resolve_ref
  0.00      2.00     0.00  8120593     0.00     0.00  Lfree
  0.00      2.00     0.00  4620343     0.00     0.00  round_capacity
  0.00      2.00     0.00  1540403     0.00     0.00  bvm_get_bif_registry
  0.00      2.00     0.00  1400013     0.00     0.00  Lstrcat
  0.00      2.00     0.00  1390401     0.00     0.00  try_arith_fast
  0.00      2.00     0.00  1250221     0.00     0.00  work_alloc
  0.00      2.00     0.00  1250221     0.00     0.00  work_free
  0.00      2.00     0.00  1250209     0.00     0.00  IRXLSINI
  0.00      2.00     0.00  1120003     0.00     0.00  parse_whole
  0.00      2.00     0.00   980201     0.00     0.00  num_addsub
  0.00      2.00     0.00   980001     0.00     0.00  translate_lstr_rc
  0.00      2.00     0.00   700000     0.00     0.00  IRXBIFPO
  0.00      2.00     0.00   560012     0.00     0.00  Lcat
  0.00      2.00     0.00   420003     0.00     0.00  IRXBIFNN
  0.00      2.00     0.00   420001     0.00     0.00  Lsubstr
  0.00      2.00     0.00   420000     0.00     0.00  bif_substr
  0.00      2.00     0.00   280400     0.00     0.00  wkbi_from_parser
  0.00      2.00     0.00   280001     0.00     0.00  sub_magnitudes
  0.00      2.00     0.00   280000     0.00     0.00  Lword
  0.00      2.00     0.00   280000     0.00     0.00  bif_length
  0.00      2.00     0.00   280000     0.00     0.00  bif_word
  0.00      2.00     0.00   280000     0.00     0.00  find_word
  0.00      2.00     0.00   280000     0.00     0.00  long_to_lstr
  0.00      2.00     0.00   140200     0.00     0.00  i32toa
  0.00      2.00     0.00   140200     0.00     0.00  slot_to_int32
  0.00      2.00     0.00   140100     0.00     0.00  IRXPTOPT
  0.00      2.00     0.00   140000     0.00     0.00  VPOOLDRB
  0.00      2.00     0.00   140000     0.00     0.00  bif_address
  0.00      2.00     0.00   140000     0.00     0.00  bif_trace
  0.00      2.00     0.00   140000     0.00     0.00  vpool_drop
  0.00      2.00     0.00    19648     0.00     0.00  peek
  0.00      2.00     0.00     9551     0.00     0.00  advance
  0.00      2.00     0.00     6087     0.00     0.00  tok_at
  0.00      2.00     0.00     3413     0.00     0.00  tok_type_at
  0.00      2.00     0.00     1616     0.00     0.00  IRXISYMC
  0.00      2.00     0.00     1083     0.00     0.00  tok_kw
  0.00      2.00     0.00      745     0.00     0.00  emit_byte
  0.00      2.00     0.00      715     0.00     0.00  skip_inline_ws
  0.00      2.00     0.00      610     0.00     0.00  emit
  0.00      2.00     0.00      466     0.00     0.00  IRXISYMS
  0.00      2.00     0.00      401     0.00     0.00  irx_time_now
  0.00      2.00     0.00      400     0.00     0.00  bif_time
  0.00      2.00     0.00      400     0.00     0.00  parse_subform
  0.00      2.00     0.00      345     0.00     0.00  emit_u16
  0.00      2.00     0.00      342     0.00     0.00  tok_is_semi
  0.00      2.00     0.00      335     0.00     0.00  scan_symbol_or_number
  0.00      2.00     0.00      303     0.00     0.00  rexx_lstr_alloc_raw
  0.00      2.00     0.00      303     0.00     0.00  rexx_lstr_dealloc_raw
  0.00      2.00     0.00      264     0.00     0.00  sym_is_keyword
  0.00      2.00     0.00      217     0.00     0.00  tok_ch
  0.00      2.00     0.00      197     0.00     0.00  emit_eoc
